# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Position East of launch (m),Position North of launch (m),CP location (cm),CG location (cm),Stability margin calibers (?)
0.13,0.2697,5.6908,59.085,0,0,NaN,219.88,NaN
0.14,0.32956,6.2819,57.538,0,0,NaN,219.85,NaN
0.15,0.39526,6.8574,56.582,0,0,NaN,219.82,NaN
0.16,0.46666,7.4235,56.214,0,0,NaN,219.78,NaN
0.17,0.54371,7.9858,55.845,0,0,NaN,219.75,NaN
0.18,0.62636,8.5444,55.476,0,0,NaN,219.72,NaN
0.19,0.71457,9.0993,55.106,0,0,NaN,219.69,NaN
0.2,0.80832,9.6506,55.039,0,0,NaN,219.66,NaN
0.21,0.90758,10.201,55.273,0,0,NaN,219.63,NaN
0.22,1.0124,10.754,55.507,0,0,NaN,219.6,NaN
0.23,1.1227,11.309,55.742,0,0,NaN,219.56,NaN
0.24,1.2386,11.867,55.976,0,0,NaN,219.53,NaN
0.25,1.36,12.427,56.21,0,0,NaN,219.5,NaN
0.26,1.4871,12.989,56.445,0,0,NaN,219.47,NaN
0.27,1.6198,13.554,56.679,0,0,NaN,219.44,NaN
0.28,1.7582,14.121,56.913,0,0,NaN,219.41,NaN
0.29,1.9022,14.69,57.147,0,0,NaN,219.37,NaN
0.3,2.052,15.262,57.38,0,0,NaN,219.34,NaN
0.31,2.2075,15.836,57.614,0,0,NaN,219.31,NaN
0.32,2.3687,16.412,57.847,0,0,NaN,219.28,NaN
0.33,2.5357,16.99,58.081,0,0,NaN,219.25,NaN
0.34,2.7085,17.571,58.314,0,0,NaN,219.22,NaN
0.35,2.8872,18.155,58.308,0,0,NaN,219.18,NaN
0.36,3.0716,18.738,58.062,0,0,NaN,219.15,NaN
0.37,3.2619,19.319,57.816,0,0,NaN,219.12,NaN
0.38,3.458,19.897,57.57,0,0,NaN,219.09,NaN
0.39,3.6598,20.473,57.323,0,0,NaN,219.06,NaN
0.4,3.8674,21.046,57.075,0,0,NaN,219.03,NaN
0.41,4.0808,21.617,56.828,0,0,NaN,218.99,NaN
0.42,4.2998,22.186,56.581,0,0,NaN,218.96,NaN
0.43,4.5245,22.752,56.333,0,0,NaN,218.93,NaN
0.44,4.7548,23.315,56.085,0,0,NaN,218.9,NaN
0.45,4.9908,23.876,55.836,0,0,NaN,218.87,NaN
0.46,5.2323,24.435,55.586,0,0,244.45,218.84,1.4892
0.475,5.6051,25.268,55.14,-2.9536e-5,0,244.75,218.8,1.5086
0.4975,6.1875,26.507,54.469,-1.8777e-4,0,245.16,218.74,1.5361
0.53125,7.1131,28.342,53.517,-6.9077e-4,0,246.19,218.65,1.601
0.58125,8.5971,31.016,52.944,-0.0020215,0,247.21,218.52,1.6679
0.63125,10.214,33.666,52.541,-0.0040483,-1.115e-8,247.95,218.36,1.7201
0.68125,11.963,36.296,52.195,-0.0067494,-2.6337e-8,248.86,218.21,1.7817
0.73125,13.843,38.908,52.079,-0.010044,-5.3792e-8,249.63,218.06,1.8354
0.78125,15.854,41.514,51.979,-0.013811,-9.7527e-8,250.5,217.91,1.8944
0.83125,17.995,44.115,51.871,-0.017873,-1.6363e-7,250.97,217.76,1.9308
0.88125,20.265,46.711,51.757,-0.022037,-2.5217e-7,251.66,217.61,1.9797
0.93125,22.666,49.3,51.635,-0.026041,-3.6692e-7,252.52,217.46,2.038
0.98125,25.195,51.883,51.544,-0.029528,-5.1648e-7,253.37,217.31,2.0963
1,26.177,52.85,55.824,-0.030621,-5.8314e-7,253.7,217.21,2.1219
1.0281,27.686,54.471,67.553,-0.031936,-6.9762e-7,253.8,217.13,2.1322
1.0703,30.044,57.331,68.713,-0.03285,-9.0863e-7,254.34,217,2.171
1.1203,32.997,60.771,69.078,-0.031694,-1.2446e-6,255.55,216.82,2.2519
1.1703,36.122,64.227,68.509,-0.027331,-1.7025e-6,256.82,216.62,2.3371
1.2203,39.419,67.654,67.891,-0.018896,-2.29e-6,257.51,216.43,2.3884
1.2703,42.887,71.05,67.504,-0.0056213,-3.0283e-6,257.99,216.23,2.4284
1.3203,46.523,74.427,67.265,0.013271,-3.9774e-6,258.83,216.03,2.4885
1.3703,50.329,77.791,67.012,0.038685,-5.2362e-6,258.52,215.83,2.4824
1.4203,54.302,81.142,66.745,0.071529,-6.9627e-6,258.02,215.63,2.4649
1.4703,58.443,84.479,66.465,0.11268,-9.3475e-6,257.58,215.43,2.4511
1.5203,62.75,87.802,66.17,0.16299,-1.264e-5,257.09,215.22,2.4338
1.5703,67.223,91.11,65.863,0.22333,-1.7056e-5,256.6,215.02,2.4174
1.6203,71.861,94.402,65.546,0.29453,-2.2804e-5,256.3,214.82,2.4119
1.6703,76.663,97.679,65.207,0.3773,-2.9963e-5,255.94,214.61,2.4025
1.7203,81.628,100.94,64.781,0.4723,-3.8555e-5,255.6,214.41,2.3947
1.7703,86.756,104.17,64.36,0.58008,-4.8508e-5,255.73,214.21,2.4141
1.8203,92.045,107.39,63.935,0.70076,-5.9559e-5,256.08,214.01,2.4459
1.8703,97.495,110.59,63.501,0.8342,-7.1267e-5,256.29,213.81,2.4696
1.9203,103.1,113.76,63.065,0.98016,-8.3024e-5,256.73,213.61,2.5072
1.9703,108.87,116.91,62.677,1.1381,-9.4184e-5,257.37,213.41,2.5559
2,112.37,118.77,69.54,1.2372,-1.0027e-4,257.8,213.25,2.5904
2.0445,117.73,121.98,79.713,1.3932,-1.0841e-4,258.54,213.08,2.6429
2.0945,123.93,125.97,80.055,1.579,-1.1575e-4,259.27,212.86,2.6987
2.1445,130.33,129.97,79.432,1.7751,-1.2066e-4,258.59,212.6,2.6739
2.1945,136.92,133.93,78.404,1.9804,-1.2265e-4,257.94,212.35,2.6507
2.2445,143.72,137.85,77.424,2.1932,-1.2145e-4,257.53,212.09,2.6419
2.2945,150.71,141.72,76.733,2.4125,-1.1716e-4,257.31,211.83,2.6441
2.3445,157.89,145.55,76.055,2.6375,-1.1002e-4,257.26,211.58,2.6558
2.3945,165.26,149.35,75.355,2.8677,-1.0065e-4,257.5,211.32,2.6848
2.4445,172.82,153.11,74.633,3.1033,-8.9686e-5,257.93,211.06,2.7248
2.4945,180.57,156.83,73.844,3.3449,-7.7227e-5,258.67,210.8,2.7832
2.5445,188.5,160.52,72.969,3.5937,-6.3022e-5,259.24,210.55,2.831
2.5945,196.62,164.16,72.065,3.851,-4.72e-5,259.29,210.3,2.8484
2.6445,204.92,167.75,71.14,4.1182,-3.031e-5,258.71,210.04,2.8293
2.6945,213.4,171.3,70.201,4.3964,-1.2451e-5,258.33,209.79,2.8218
2.7445,222.05,174.8,69.279,4.687,6.6603e-6,258.15,209.54,2.826
2.7945,230.87,178.25,68.36,4.9903,2.7555e-5,258.27,209.28,2.8479
2.8445,239.87,181.66,67.401,5.3063,5.1146e-5,258.6,209.03,2.8822
2.8945,249.04,185.02,66.441,5.6342,7.8809e-5,259.25,208.77,2.9345
2.9445,258.37,188.33,65.466,5.9724,1.1128e-4,259.89,208.52,2.9866
2.9945,267.87,191.6,64.474,6.3194,1.4854e-4,259.37,208.26,2.9718
3.0445,277.53,194.81,63.46,6.6733,1.8986e-4,259.08,208,2.9696
3.0945,287.35,197.97,62.429,7.0329,2.3405e-4,258.88,207.74,2.9734
3.1445,297.33,201.08,61.379,7.3973,2.8089e-4,258.98,207.48,2.9944
3.1945,307.46,204.14,60.307,7.7664,3.3048e-4,259.5,207.21,3.0398
3.2445,317.74,207.14,59.214,8.1411,3.823e-4,260.08,206.95,3.0888
3.2945,328.17,210.09,58.105,8.5229,4.3602e-4,260.27,206.68,3.1156
3.3445,338.75,212.98,56.85,8.913,4.9092e-4,259.99,206.42,3.1146
3.3945,349.47,215.81,53.289,9.3125,5.4516e-4,259.71,206.16,3.1136
3.4445,360.33,218.46,48.927,9.7222,5.964e-4,259.72,205.92,3.1279
3.4945,371.31,220.89,44.582,10.142,6.4364e-4,259.96,205.71,3.1544
3.5445,382.41,223.11,40.284,10.571,6.8678e-4,260.4,205.49,3.1921
3.5945,393.62,225.12,36.022,11.007,7.2674e-4,260.72,205.28,3.2234
3.6445,404.92,226.91,31.81,11.45,7.6648e-4,260.53,205.07,3.2244
3.6945,416.3,228.49,27.629,11.896,8.0848e-4,260.33,204.85,3.2257
3.7445,427.76,229.87,23.487,12.344,8.5425e-4,260.19,204.63,3.2301
3.7945,439.28,231.03,19.455,12.794,9.0413e-4,260.23,204.42,3.2449
3.8445,450.86,232,16.827,13.245,9.5784e-4,260.51,204.21,3.2736
3.8945,462.48,232.84,14.708,13.697,0.0010144,261.08,204.03,3.317
3.9445,474.14,233.57,12.606,14.153,0.0010734,260.54,203.86,3.295
3.9945,485.83,234.2,10.419,14.613,0.0011342,260.41,203.7,3.297
4.0445,497.56,234.71,8.0634,15.077,0.0011965,260.3,203.55,3.2993
4.0945,509.3,235.12,5.7612,15.547,0.0012618,260.51,203.43,3.319
4.1445,521.07,235.4,3.5077,16.021,0.0013327,260.96,203.3,3.3524
4.1945,532.84,235.58,1.2886,16.497,0.0014092,260.86,203.17,3.3541
4.2445,544.62,235.65,-0.9109,16.974,0.00149,260.42,203.04,3.3358
4.2945,556.4,235.6,-3.0924,17.449,0.0015722,260.26,202.91,3.3341
4.3445,568.18,235.45,-5.255,17.922,0.0016543,260.44,202.79,3.3519
4.3945,579.94,235.19,-7.4014,18.394,0.0017362,260.94,202.66,3.3884
4.4445,591.69,234.82,-9.5308,18.864,0.0018191,260.89,202.53,3.3933
4.4945,603.42,234.35,-10.832,19.336,0.0019039,260.56,202.4,3.3813
4.5445,615.13,233.81,-10.883,19.81,0.0019931,260.31,202.29,3.3735
4.5945,626.81,233.28,-10.893,20.286,0.0020893,260.47,202.19,3.3884
4.6445,638.46,232.74,-10.889,20.763,0.0021944,260.84,202.1,3.4156
4.6945,650.08,232.2,-10.886,21.242,0.0023085,260.9,202,3.4242
4.7445,661.68,231.66,-10.92,21.719,0.0024301,260.72,201.91,3.4195
4.7945,673.24,231.12,-10.968,22.195,0.0025545,260.51,201.82,3.4122
4.8445,684.79,230.58,-11.027,22.67,0.0026767,260.54,201.73,3.4193
4.8945,696.3,230.03,-11.089,23.143,0.0027933,260.58,201.64,3.4263
4.9445,707.79,229.48,-11.161,23.614,0.0029039,260.82,201.56,3.4457
4.9945,719.25,228.93,-11.241,24.084,0.0030094,260.8,201.47,3.4495
5.0445,730.68,228.37,-11.323,24.555,0.0031114,260.4,201.38,3.4313
5.0945,742.09,227.81,-11.38,25.027,0.0032121,260.43,201.3,3.438
5.1445,753.46,227.25,-11.433,25.501,0.0033138,260.5,201.21,3.4474
5.1945,764.81,226.68,-11.476,25.975,0.0034195,260.72,201.12,3.4648
5.2445,776.13,226.11,-11.52,26.45,0.0035325,260.85,201.03,3.4779
5.2945,787.42,225.54,-11.566,26.924,0.0036541,260.58,200.95,3.4669
5.3445,798.69,224.97,-11.62,27.397,0.0037823,260.44,200.86,3.464
5.3945,809.92,224.39,-11.68,27.869,0.0039137,260.42,200.77,3.4683
5.4445,821.13,223.82,-11.751,28.339,0.0040447,260.64,200.68,3.4857
5.4945,832.3,223.23,-11.823,28.808,0.0041719,260.8,200.59,3.5001
5.5445,843.45,222.65,-11.898,29.277,0.0042936,260.53,200.51,3.4898
5.5945,854.57,222.06,-11.967,29.747,0.0044104,260.38,200.42,3.4865
5.6445,865.65,221.46,-12.023,30.217,0.004526,260.47,200.33,3.4965
5.6945,876.71,220.87,-12.089,30.688,0.0046452,260.64,200.24,3.5116
5.7445,887.74,220.27,-12.21,31.158,0.0047721,260.69,200.16,3.5192
5.7945,898.74,219.66,-12.334,31.629,0.0049085,260.46,200.08,3.5101
5.8445,909.71,219.05,-12.467,32.098,0.0050543,260.38,200.01,3.5095
5.8945,920.64,218.44,-12.61,32.566,0.0052069,260.54,199.95,3.5226
5.9445,931.55,217.81,-12.747,33.034,0.0053627,260.52,199.88,3.5255
5.9945,942.42,217.18,-12.889,33.5,0.0055179,260.64,199.81,3.5365
6.0445,953.27,216.54,-13.029,33.966,0.0056689,260.53,199.74,3.5341
6.0945,964.08,215.89,-13.169,34.432,0.005814,260.41,199.68,3.5308
6.1445,974.86,215.24,-13.3,34.898,0.0059546,260.46,199.61,3.5381
6.1945,985.6,214.58,-13.43,35.364,0.0060932,260.53,199.54,3.5459
6.2445,996.31,213.91,-13.558,35.829,0.0062329,260.46,199.47,3.5459
6.2945,1007,213.24,-13.691,36.294,0.0063764,260.42,199.4,3.5474
6.3445,1017.6,212.56,-13.825,36.757,0.0065245,260.4,199.33,3.5503
6.3945,1028.2,211.88,-13.961,37.22,0.0066772,260.43,199.27,3.5561
6.4445,1038.8,211.19,-14.099,37.682,0.0068329,260.46,199.2,3.5616
6.4945,1049.4,210.49,-14.236,38.144,0.0069902,260.34,199.13,3.5587
6.5445,1059.9,209.78,-14.371,38.605,0.007148,260.28,199.06,3.5596
6.5945,1070.3,209.07,-14.5,39.066,0.0073052,260.35,198.99,3.5676
6.6445,1080.8,208.35,-14.631,39.526,0.007461,260.35,198.92,3.5713
6.6945,1091.2,207.62,-14.775,39.986,0.0076157,260.38,198.85,3.5771
6.7445,1101.5,206.89,-14.946,40.445,0.0077706,260.26,198.79,3.5737
6.7945,1111.9,206.15,-15.122,40.904,0.0079267,260.26,198.73,3.5775
6.8445,1122.2,205.4,-15.297,41.361,0.0080844,260.25,198.67,3.5802
6.8945,1132.4,204.64,-15.469,41.817,0.0082432,260.2,198.62,3.5801
6.9445,1142.6,203.87,-15.645,42.273,0.0084021,260.24,198.56,3.5859
6.9945,1152.8,203.09,-15.817,42.727,0.0085602,260.17,198.5,3.5854
7.0445,1162.9,202.31,-15.995,43.18,0.0087174,260.19,198.45,3.5897
7.0945,1173,201.51,-16.179,43.632,0.0088746,260.17,198.4,3.5916
7.1445,1183.1,200.71,-16.355,44.084,0.0090326,260.17,198.35,3.5944
7.1945,1193.1,199.9,-16.539,44.534,0.0091913,260.11,198.3,3.5932
7.2445,1203.1,199.08,-16.719,44.984,0.0093501,260.04,198.26,3.5921
7.2945,1213,198.25,-16.902,45.433,0.009509,259.89,198.21,3.5861
7.3445,1222.9,197.41,-17.076,45.881,0.0096689,259.93,198.17,3.5908
7.3945,1232.7,196.56,-17.246,46.329,0.0098314,260.07,198.12,3.6021
7.4445,1242.5,195.7,-17.414,46.776,0.0099978,260.01,198.07,3.6011
7.4945,1252.3,194.84,-17.56,47.222,0.010168,259.98,198.03,3.6021
7.5445,1262,193.97,-17.7,47.666,0.010342,259.97,197.98,3.604
7.5945,1271.7,193.09,-17.838,48.109,0.01052,259.88,197.94,3.601
7.6445,1281.3,192.2,-17.984,48.55,0.0107,260.01,197.9,3.6111
7.6945,1290.9,191.31,-18.13,48.991,0.010882,259.87,197.86,3.605
7.7445,1300.5,190.41,-18.275,49.43,0.011064,259.73,197.82,3.5993
7.7945,1310,189.5,-18.406,49.869,0.011246,259.93,197.78,3.6134
7.8445,1319.4,188.58,-18.493,50.306,0.011427,259.8,197.74,3.6084
7.8945,1328.8,187.67,-18.575,50.742,0.011608,259.89,197.7,3.6158
7.9445,1338.2,186.74,-18.653,51.177,0.011787,259.79,197.66,3.6124
7.9945,1347.5,185.82,-18.733,51.61,0.011964,259.74,197.62,3.6115
8.0445,1356.8,184.89,-18.816,52.042,0.012141,259.58,197.58,3.6046
8.0945,1366,183.95,-18.911,52.471,0.012316,259.7,197.55,3.6136
8.1445,1375.2,183.01,-19.008,52.899,0.012492,259.81,197.52,3.6214
8.1945,1384.3,182.07,-19.105,53.326,0.012669,259.77,197.49,3.6206
8.2445,1393.4,181.12,-19.198,53.752,0.012848,259.81,197.47,3.6249
8.2945,1402.4,180.16,-19.294,54.176,0.01303,259.73,197.44,3.6215
8.3445,1411.4,179.2,-19.372,54.599,0.013213,259.64,197.41,3.6177
8.3945,1420.3,178.24,-19.445,55.02,0.013397,259.59,197.39,3.6165
8.4445,1429.2,177.27,-19.512,55.441,0.013581,259.68,197.36,3.6235
8.4945,1438,176.3,-19.557,55.86,0.013765,259.66,197.34,3.6236
8.5445,1446.8,175.33,-19.597,56.277,0.013947,259.64,197.32,3.6234
8.5945,1455.6,174.36,-19.635,56.694,0.014128,259.72,197.3,3.6293
8.6445,1464.3,173.38,-19.679,57.109,0.014308,259.66,197.28,3.6269
8.6945,1472.9,172.4,-19.72,57.522,0.014488,259.63,197.26,3.6262
8.7445,1481.5,171.42,-19.736,57.934,0.014669,259.64,197.24,3.628
8.7945,1490.1,170.44,-19.752,58.345,0.014851,259.65,197.22,3.6297
8.8445,1498.6,169.46,-19.714,58.753,0.015034,259.39,197.2,3.6158
8.8945,1507,168.48,-19.673,59.16,0.015218,259.43,197.19,3.6192
8.9445,1515.4,167.5,-19.638,59.566,0.015403,259.57,197.17,3.6278
8.9945,1523.8,166.52,-19.599,59.969,0.015588,259.48,197.16,3.6233
9.0445,1532.1,165.55,-19.569,60.371,0.015773,259.56,197.14,3.6288
9.0945,1540.3,164.57,-19.538,60.771,0.015958,259.49,197.13,3.6255
9.1445,1548.5,163.6,-19.517,61.17,0.016145,259.46,197.11,3.625
9.1945,1556.7,162.63,-19.49,61.567,0.016333,259.52,197.1,3.6289
9.2445,1564.8,161.66,-19.471,61.962,0.016524,259.29,197.08,3.6166
9.2945,1572.8,160.69,-19.688,62.357,0.016716,259.32,197.07,3.6194
9.3445,1580.8,159.71,-20.439,62.75,0.016911,259.48,197.06,3.6291
9.3945,1588.8,158.69,-20.466,63.142,0.017107,259.36,197.05,3.6227
9.4445,1596.7,157.67,-20.357,63.532,0.017304,259.4,197.04,3.6256
9.4945,1604.6,156.66,-20.245,63.921,0.017502,259.4,197.03,3.6262
9.5445,1612.4,155.65,-20.143,64.307,0.0177,259.4,197.03,3.6265
9.5945,1620.1,154.65,-20.045,64.692,0.017899,259.43,197.02,3.6285
9.6445,1627.8,153.65,-19.945,65.076,0.018098,259.23,197.01,3.6175
9.6945,1635.5,152.66,-19.85,65.457,0.018296,259.31,197.01,3.6225
9.7445,1643.1,151.67,-19.733,65.836,0.018494,259.31,197,3.6227
9.7945,1650.7,150.69,-19.616,66.214,0.018693,259.39,196.99,3.6277
9.8445,1658.2,149.71,-19.502,66.589,0.018893,259.44,196.99,3.631
9.8945,1665.6,148.74,-19.393,66.963,0.019094,259.35,196.98,3.6257
9.9445,1673.1,147.78,-19.285,67.336,0.019296,259.25,196.98,3.6207
9.9945,1680.4,146.82,-19.18,67.707,0.0195,259.1,196.97,3.612
10.045,1687.7,145.86,-19.075,68.077,0.019706,259.08,196.97,3.6111
10.095,1695,144.91,-18.966,68.446,0.019914,259.26,196.97,3.6219
10.145,1702.2,143.97,-18.861,68.814,0.020123,259.43,196.96,3.632
10.195,1709.4,143.03,-18.76,69.18,0.020334,259.35,196.96,3.6274
10.245,1716.5,142.1,-18.662,69.544,0.020547,259.29,196.95,3.6244
10.295,1723.6,141.17,-18.804,69.907,0.020759,258.95,196.95,3.6049
10.345,1730.7,140.23,-19.513,70.268,0.020971,259.11,196.94,3.6142
10.395,1737.6,139.26,-19.495,70.627,0.021183,259.23,196.94,3.6214
10.445,1744.6,138.29,-19.342,70.984,0.021393,259.18,196.94,3.6186
10.495,1751.5,137.32,-19.193,71.339,0.021601,259.17,196.94,3.618
10.545,1758.3,136.37,-19.051,71.693,0.021808,259.37,196.94,3.6298
10.595,1765.1,135.42,-18.91,72.045,0.022013,259.27,196.94,3.6237
10.645,1771.9,134.48,-18.773,72.395,0.022217,259.06,196.94,3.6114
10.695,1778.6,133.54,-18.633,72.744,0.02242,259.06,196.94,3.6119
10.745,1785.2,132.61,-18.492,73.092,0.022623,259.28,196.94,3.6243
10.795,1791.8,131.69,-18.356,73.438,0.022827,259.34,196.94,3.6282
10.845,1798.4,130.78,-18.22,73.783,0.023032,259.14,196.94,3.6162
10.895,1804.9,129.87,-18.092,74.126,0.023239,259.23,196.94,3.6215
10.945,1811.4,128.97,-17.964,74.467,0.023448,259.21,196.94,3.6203
10.995,1817.8,128.07,-17.838,74.807,0.02366,259.16,196.94,3.6174
11.045,1824.2,127.18,-17.716,75.145,0.023875,259.24,196.94,3.6224
11.095,1830.5,126.3,-17.6,75.482,0.024093,259.06,196.94,3.6118
11.145,1836.8,125.42,-17.48,75.818,0.024313,259.08,196.94,3.6126
11.195,1843,124.55,-17.363,76.152,0.024534,259.05,196.94,3.6109
11.245,1849.3,123.69,-17.249,76.485,0.024756,258.93,196.94,3.6041
11.295,1855.4,122.83,-17.135,76.817,0.024979,258.88,196.94,3.6015
11.345,1861.5,121.97,-17.02,77.148,0.025201,258.99,196.94,3.6078
11.395,1867.6,121.13,-16.902,77.477,0.025422,259.11,196.94,3.6145
11.445,1873.6,120.28,-16.794,77.805,0.025641,259.18,196.94,3.6188
11.495,1879.6,119.45,-16.69,78.132,0.02586,259.15,196.94,3.6171
11.545,1885.6,118.62,-16.582,78.458,0.026078,259.25,196.94,3.6229
11.595,1891.5,117.79,-16.476,78.782,0.026295,259.1,196.94,3.6141
11.645,1897.4,116.97,-16.379,79.105,0.026511,259.05,196.94,3.6111
11.695,1903.2,116.15,-16.279,79.427,0.026728,258.98,196.94,3.6067
11.745,1909,115.34,-16.179,79.747,0.026945,259.01,196.94,3.6088
11.795,1914.7,114.53,-16.082,80.067,0.027164,258.94,196.94,3.6045
11.845,1920.4,113.73,-15.984,80.386,0.027383,259.05,196.94,3.6111
11.895,1926.1,112.93,-15.889,80.704,0.027605,259.09,196.94,3.6134
11.945,1931.7,112.14,-15.795,81.02,0.027829,259.06,196.94,3.6116
11.995,1937.3,111.36,-15.701,81.336,0.028056,259.19,196.94,3.6195
12.045,1942.9,110.57,-15.609,81.651,0.028284,259.09,196.94,3.6132
12.095,1948.4,109.79,-15.518,81.964,0.028515,258.97,196.94,3.6066
12.145,1953.9,109.02,-15.425,82.277,0.028747,258.54,196.94,3.5813
12.195,1959.3,108.25,-15.335,82.588,0.028981,258.24,196.94,3.5643
12.245,1964.7,107.49,-15.25,82.897,0.029216,258.24,196.94,3.5638
12.295,1970,106.73,-15.167,83.205,0.02945,258.29,196.94,3.5667
12.345,1975.3,105.97,-15.085,83.511,0.029685,258.33,196.94,3.5695
12.395,1980.6,105.22,-15.003,83.816,0.029919,258.25,196.94,3.5646
12.445,1985.9,104.47,-14.925,84.12,0.030153,258.38,196.94,3.5722
12.495,1991.1,103.73,-14.847,84.422,0.030385,258.53,196.94,3.5808
12.545,1996.2,102.99,-14.773,84.722,0.030616,258.81,196.94,3.5969
12.595,2001.4,102.25,-14.697,85.022,0.030846,258.84,196.94,3.5987
12.645,2006.5,101.52,-14.627,85.321,0.031074,259.05,196.94,3.6108
12.695,2011.5,100.79,-14.557,85.618,0.031302,258.74,196.94,3.593
12.745,2016.5,100.06,-14.487,85.915,0.031528,258.53,196.94,3.5809
12.795,2021.5,99.337,-14.419,86.211,0.031754,258.24,196.94,3.5638
12.845,2026.5,98.618,-14.352,86.507,0.03198,258.02,196.94,3.551
12.895,2031.4,97.902,-14.285,86.802,0.032206,257.75,196.94,3.5356
12.945,2036.3,97.189,-14.213,87.097,0.032433,257.9,196.94,3.544
12.995,2041.1,96.48,-14.143,87.391,0.032661,257.97,196.94,3.5485
13.045,2045.9,95.775,-14.07,87.685,0.03289,258.29,196.94,3.567
13.095,2050.7,95.073,-14.001,87.979,0.033121,258.41,196.94,3.5741
13.145,2055.4,94.375,-13.931,88.272,0.033354,258.67,196.94,3.5889
13.195,2060.1,93.68,-13.863,88.564,0.033588,258.91,196.94,3.6027
13.245,2064.8,92.988,-13.795,88.855,0.033824,258.97,196.94,3.6065
13.295,2069.4,92.3,-13.726,89.146,0.034063,258.5,196.94,3.5789
13.345,2074,91.616,-13.662,89.435,0.034303,258.25,196.94,3.5647
13.395,2078.6,90.934,-13.601,89.723,0.034545,258.34,196.94,3.5697
13.445,2083.1,90.256,-13.541,90.01,0.034788,258.38,196.94,3.5722
13.495,2087.6,89.58,-13.481,90.296,0.035033,258.38,196.94,3.5723
13.545,2092.1,88.908,-13.419,90.581,0.035278,257.94,196.94,3.5467
13.595,2096.5,88.238,-13.358,90.865,0.035524,257.57,196.94,3.5251
13.645,2100.9,87.572,-13.306,91.147,0.035771,258.2,196.94,3.5619
13.695,2105.3,86.908,-13.251,91.428,0.036017,258.33,196.94,3.569
13.745,2109.6,86.247,-13.195,91.708,0.036264,258.3,196.94,3.5677
13.795,2113.9,85.588,-13.143,91.987,0.03651,258.63,196.94,3.5867
13.845,2118.1,84.932,-13.093,92.265,0.036756,258.98,196.94,3.6068
13.895,2122.4,84.279,-13.041,92.543,0.037002,259.03,196.94,3.6097
13.945,2126.6,83.628,-12.986,92.819,0.037247,258.85,196.94,3.5993
13.995,2130.7,82.98,-12.937,93.095,0.037491,258.99,196.94,3.6074
14.045,2134.9,82.335,-12.887,93.37,0.037735,258.8,196.94,3.5967
14.095,2139,81.691,-12.838,93.644,0.037978,258.71,196.94,3.5914
14.145,2143,81.051,-12.792,93.918,0.03822,258.29,196.94,3.5671
14.195,2147.1,80.412,-12.746,94.191,0.038463,258.07,196.94,3.554
14.245,2151.1,79.776,-12.698,94.463,0.038705,257.97,196.94,3.5484
14.295,2155.1,79.142,-12.652,94.736,0.038948,257.8,196.94,3.5384
14.345,2159,78.511,-12.604,95.008,0.03919,257.83,196.94,3.5401
14.395,2162.9,77.882,-12.56,95.279,0.039433,257.57,196.94,3.525
14.445,2166.8,77.255,-12.508,95.55,0.039677,257.99,196.94,3.5495
14.495,2170.6,76.631,-12.46,95.821,0.039922,258.15,196.94,3.5589
14.545,2174.5,76.009,-12.416,96.092,0.040167,258.03,196.94,3.5517
14.595,2178.2,75.39,-12.37,96.362,0.040414,258.12,196.94,3.5568
14.645,2182,74.772,-12.321,96.631,0.040662,258.53,196.94,3.581
14.695,2185.7,74.157,-12.278,96.9,0.04091,258.42,196.94,3.5747
14.745,2189.4,73.545,-12.23,97.169,0.04116,259,196.94,3.6084
14.795,2193.1,72.934,-12.187,97.437,0.041412,258.94,196.94,3.6045
14.845,2196.7,72.326,-12.14,97.704,0.041664,258.29,196.94,3.5668
14.895,2200.3,71.72,-12.097,97.971,0.041918,258.07,196.94,3.554
14.945,2203.9,71.116,-12.056,98.237,0.042173,257.94,196.94,3.5468
14.995,2207.4,70.515,-12.015,98.501,0.042429,257.9,196.94,3.5441
15.045,2210.9,69.915,-11.974,98.765,0.042686,257.68,196.94,3.5313
15.095,2214.4,69.317,-11.938,99.028,0.042944,258.04,196.94,3.5526
15.145,2217.9,68.721,-11.898,99.291,0.043203,257.78,196.94,3.5375
15.195,2221.3,68.127,-11.857,99.552,0.043462,257.32,196.94,3.5105
15.245,2224.7,67.535,-11.819,99.813,0.043722,257.2,196.94,3.5035
15.295,2228,66.945,-11.783,100.07,0.043983,257.36,196.94,3.5126
15.345,2231.4,66.357,-11.747,100.33,0.044244,257.44,196.94,3.5176
15.395,2234.7,65.771,-11.714,100.59,0.044505,257.83,196.94,3.5399
15.445,2237.9,65.186,-11.678,100.85,0.044767,257.77,196.94,3.5366
15.495,2241.2,64.603,-11.646,101.1,0.045029,258.19,196.94,3.5609
15.545,2244.4,64.021,-11.611,101.36,0.04529,258.17,196.94,3.5597
15.595,2247.6,63.441,-11.579,101.61,0.045552,258.38,196.94,3.5723
15.645,2250.7,62.863,-11.545,101.87,0.045814,258.27,196.94,3.5657
15.695,2253.9,62.287,-11.508,102.12,0.046076,257.77,196.94,3.5369
15.745,2257,61.712,-11.48,102.37,0.046337,258.49,196.94,3.5784
15.795,2260,61.139,-11.449,102.63,0.046599,258.66,196.94,3.5885
15.845,2263.1,60.567,-11.418,102.88,0.046861,258.64,196.94,3.5871
15.895,2266.1,59.997,-11.391,103.13,0.047123,258.57,196.94,3.5832
