# Time (s),Vertical velocity (m/s),Angle of attack (°)
0,0,90
0.01,0,90
0.02,0.60412,72.113
0.03,1.4929,51.282
0.04,2.3681,38.039
0.05,3.2408,29.629
0.06,4.1155,24.151
0.07,4.9993,20.282
0.08,5.894,17.423
0.09,6.7996,15.235
0.1,7.7143,13.514
0.11,8.6286,12.011
0.12,9.5458,10.781
0.13,10.468,9.7541
0.14,11.396,8.8844
0.15,12.329,8.139
0.16,13.267,7.661
0.17,14.21,7.2427
0.18,15.159,6.8734
0.19,16.111,6.5457
0.2,17.061,6.255
0.21,18.013,5.9103
0.22,18.968,5.5987
0.23,19.926,5.3158
0.24,20.888,5.0578
0.25,21.854,4.8215
0.26,22.823,4.7037
0.27,23.795,4.5948
0.28,24.771,4.4937
0.29,25.751,4.3997
0.3,26.734,4.312
0.31,27.72,4.2099
0.32,28.71,4.1144
0.33,29.703,4.0247
0.34,30.7,3.9404
0.35,31.699,3.861
0.365,33.193,3.7456
0.3875,35.433,3.5899
0.42125,38.806,3.2194
0.47125,43.825,2.7041
0.52125,48.864,2.4253
0.57125,53.882,2.2052
0.62125,58.786,1.8934
0.67125,63.618,1.6507
0.72125,67.398,1.4727
0.77125,68.292,1.2727
0.82125,68.764,1.2031
0.87125,69.299,1.1722
0.92125,69.896,1.0531
0.97125,70.557,0.95491
1.0213,71.274,0.89057
1.0713,72.002,0.8057
1.1213,72.731,0.74083
1.1713,73.459,0.67942
1.2213,74.189,0.63102
1.2713,74.918,0.57479
1.3213,75.648,0.47628
1.3713,76.378,0.42013
1.4213,77.108,0.38118
1.4713,77.839,0.3599
1.5213,78.57,0.31981
1.5713,79.301,0.26325
1.6213,80.032,0.22109
1.6713,80.764,0.10932
1.7213,81.495,0.017078
1.7713,82.227,0.031467
1.8213,82.959,0.14044
1.8713,83.691,0.19738
1.9213,84.423,0.2712
1.9713,85.156,0.3178
2.0213,85.888,0.33992
2.0713,86.62,0.40348
2.1213,87.353,0.46773
2.1713,88.085,0.5308
2.2213,88.818,0.58697
2.2713,89.55,0.65815
2.3213,90.282,0.67655
2.3713,91.015,0.68971
2.4212,91.747,0.74656
2.4712,92.48,0.77977
2.5212,93.212,0.8094
2.5712,93.945,0.78553
2.6212,94.677,0.7111
2.6712,95.41,0.68549
2.7212,96.142,0.70505
2.7712,96.875,0.70237
2.8212,97.608,0.72801
2.8712,98.34,0.70817
2.9212,99.073,0.70362
2.9712,99.806,0.66723
3.0212,100.54,0.60538
3.0712,101.27,0.5499
3.1212,102.01,0.46666
3.1712,102.74,0.4426
3.2212,103.47,0.37914
3.2712,104.21,0.30565
3.3212,104.94,0.25092
3.3712,105.67,0.13951
3.4212,106.41,0.030391
3.4712,107.14,0.065557
3.5212,107.87,0.17179
3.5712,108.61,0.28642
3.6212,109.34,0.38165
3.6712,110.07,0.46293
3.7212,110.81,0.53563
3.7712,111.54,0.5966
3.8212,112.28,0.62736
3.8712,113.01,0.62637
3.9212,113.74,0.57849
3.9712,114.47,0.54801
4.0212,115.21,0.57305
4.0712,115.94,0.57871
4.1212,116.67,0.56201
4.1712,117.4,0.55296
4.2212,118.14,0.50856
4.2712,118.87,0.43275
4.3212,119.6,0.3434
4.3712,120.33,0.27319
4.4212,121.06,0.19804
4.4712,121.79,0.17252
4.5212,122.52,0.13844
4.5712,123.25,0.071973
4.6212,123.98,0.011754
4.6712,124.71,0.09507
4.7212,125.43,0.12564
4.7712,126.16,0.19935
4.8212,126.89,0.2885
4.8712,127.61,0.28879
4.9212,128.34,0.30155
4.9712,129.07,0.28232
5.0212,129.79,0.20266
5.0712,130.52,0.19484
5.1212,131.24,0.21333
5.1712,131.96,0.23754
5.2212,132.69,0.27154
5.2712,133.41,0.26646
5.3212,134.13,0.23568
5.3712,134.85,0.19239
5.4212,135.57,0.17765
5.4712,136.3,0.12621
5.5212,137.02,0.060849
5.5712,137.74,0.033546
5.6212,138.46,0.033696
5.6712,139.18,0.069802
5.7212,139.89,0.080913
5.7712,140.61,0.072943
5.8212,141.33,0.081878
5.8712,142.05,0.094392
5.9212,142.76,0.061968
5.9712,143.48,0.068801
6.0212,144.2,0.057005
6.0712,144.91,0.058014
6.1212,145.63,0.055026
6.1712,146.34,0.044471
6.2212,147.05,0.063961
6.2712,147.76,0.08303
6.3212,148.48,0.071351
6.3712,149.19,0.050554
6.4212,149.9,0.031233
6.4712,150.61,0.055683
6.5212,151.32,0.047314
6.5712,152.02,0.0032917
6.6212,152.73,0.035412
6.6712,153.44,0.0091154
6.7212,154.14,0.0064867
6.7712,154.85,0.049053
6.8212,155.55,0.07734
6.8712,156.26,0.097304
6.9212,156.96,0.12487
6.9712,157.66,0.10928
7.0212,158.36,0.064945
7.0712,159.06,0.02665
7.1212,159.76,0.033501
7.1712,160.46,0.013283
7.2212,161.16,0.020118
7.2712,161.86,0.012665
7.3212,162.56,0.0011943
7.3712,163.25,0.013283
7.4212,163.95,0.037568
7.4712,164.64,0.011759
7.5212,165.33,0.03031
7.5712,166.03,0.049454
7.6212,166.72,0.054918
7.6712,167.41,0.05076
7.7212,168.1,0.04679
7.7712,168.79,0.065071
7.8212,169.48,0.078944
7.8712,170.17,0.068683
7.9212,170.85,0.061141
7.9712,171.54,0.067642
8.0212,172.22,0.059976
8.0712,172.91,0.020604
8.1212,173.59,0.016766
8.1712,174.27,0.036122
8.2212,174.95,0.05033
8.2712,175.63,0.064493
8.3212,176.31,0.074422
8.3712,176.99,0.0904
8.4212,177.66,0.098449
8.4712,178.34,0.10081
8.5212,179.01,0.080273
8.5712,179.69,0.060542
8.6212,180.36,0.030804
8.6712,181.03,0.027846
8.7212,181.7,0.049868
8.7712,182.37,0.050179
8.8212,183.04,0.057062
8.8712,183.71,0.068431
8.9212,184.38,0.072346
8.9712,185.04,0.097699
9.0212,185.71,0.10914
9.0712,186.37,0.083863
9.1212,187.04,0.08706
9.1712,187.7,0.070507
9.2212,188.36,0.039497
9.2712,189.02,0.034583
9.3212,189.68,0.017513
9.3712,190.33,0.018369
9.4212,190.99,0.048873
9.4713,191.64,0.099083
9.5213,192.3,0.15601
9.5713,192.95,0.1855
9.6213,193.6,0.17659
9.6713,194.25,0.14348
9.7213,194.9,0.10042
9.7713,195.54,0.065847
9.8213,196.19,0.046028
9.8713,196.84,0.010789
9.9213,197.48,0.014965
9.9713,198.12,0.054245
10.021,198.77,0.11418
10.071,199.41,0.1478
10.121,200.05,0.16645
10.171,200.69,0.17259
10.221,201.33,0.17866
10.271,201.97,0.18022
10.321,202.6,0.16165
10.371,203.24,0.10712
10.421,203.87,0.039087
10.471,204.5,0.040847
10.521,205.13,0.12185
10.571,205.76,0.18664
10.621,206.39,0.22825
10.671,207.01,0.22032
10.721,207.64,0.20789
10.771,208.26,0.17343
10.821,208.88,0.10109
10.871,209.5,0.04757
10.921,210.12,0.0029764
10.971,210.74,0.026945
11.021,211.36,0.073349
11.071,211.98,0.11967
11.121,212.6,0.15636
11.171,213.22,0.16661
11.221,213.83,0.1539
11.271,214.44,0.1365
11.321,215.06,0.095402
11.371,215.67,0.054066
11.421,216.28,0.018283
11.471,216.88,0.031847
11.521,217.49,0.076833
11.571,218.09,0.094567
11.621,218.7,0.099644
11.671,219.3,0.11229
11.721,219.9,0.117
11.771,220.5,0.10791
11.821,221.09,0.10901
11.871,221.69,0.095154
11.921,222.29,0.056169
11.971,222.88,0.013828
12.021,223.47,0.055202
12.071,224.07,0.10824
12.121,224.66,0.12026
12.171,225.25,0.12324
12.221,225.84,0.10876
12.271,226.43,0.10098
12.321,227.02,0.082199
12.371,227.6,0.050847
12.421,228.19,0.0020758
12.471,228.77,0.033438
12.521,229.35,0.068669
12.571,229.93,0.08022
12.621,230.51,0.081916
12.671,231.08,0.074614
12.721,231.66,0.064919
12.771,232.23,0.056752
12.821,232.81,0.021884
12.871,233.38,0.018879
12.921,233.95,0.039902
12.971,234.52,0.056292
13.021,235.09,0.063995
13.071,235.61,0.042789
13.121,236.1,0.013364
13.171,236.54,3.2247e-4
13.221,236.94,0.010707
